cod_orgao,nom_orgao,sgl_orgao,cod_upce,nom_upce
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150023,QG- GBM GAROPABA              
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150039,QG- GBM CATANDUVAS            
1101,SECRETARIA DE ESTADO DA CASA CIVIL                ,SCC,11010001,ALMOX. GERAL - CASA CIVIL     
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090126,"126-""PA"" -DTSI- FLORIANOPOLIS "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250078,ALMOX/78 G.P.RV I.DO OESTE    
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090073,7º GRUP POL RODOVI�RIA - PA   
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040112,"112-""PL""-2/6BPM-OTACILIO COSTA"
2001,SEC.DE EST.DO PLANEJAMENTO                        ,SPG,20010001,ALMOXARIF.GERAL - SDE         
2301,SECRETARIA DE ESTADO DA INFRAESTRUTURA            ,SIE,23010002,COORDENADORIA REGIONAL NORTE  
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090115,"115 ""PA"" - 5 RPM - JOINVILLE  "
5602,SJC - FUNDO PENITENCIARIO DO ESTADO DE SC.        ,FUPESC,56020004,FUPESC - CHAPECO              
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150038,QG- CBM ITAJAI - FAZENDA      
5495,FUNDO CATARINENSE DE MUDANCAS CLIMATICAS (FMUC)   ,FMUC,54950001,ALMOX. CENTRAL DO FMUC        
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040014,"14 ""PL"" -  8 BPM/JOINVILLE    "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040047,"47 ""PL"" -  5/2/3 BBM/SAO BENTO"
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090105,22º GRUP POL RODOVIÁRIA - PA  
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250080,ALMOX/80 G.P.RV ICARA         
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040130,"130-""PL"" COL MILITAR BLUMENAU "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150086,QG- GBM CAMBORIU              
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090063,"63 ""PA"" - HPM/FPOLIS          "
1523,FUNDACAO UNIVERSIDADE DO ESTADO DE SC             ,UDESC,15230013,ALMOXARIFADO CESFI- B.CAMBORIU
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150116,QG - CBM SAO FRANCISCO DO SUL 
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150057,QG- BBM FNS ESTREITO          
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090085,MATERIAL BELICO - PA - PMSC   
9301,24 SEC.DE EST.DO DES.REG.-JARAGUA DO SUL          ,24 SDR,93010001,SDR 24-JARAGUA DO SUL         
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850072,LF- PBM BLUMENAU - IT. NORT   
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150053,QG- GBM CUNHA PORA            
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090106,23º GRUP POL RODOVIÁRIA - PA  
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850046,LF- PBM URUSSANGA             
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150004,QG-DADM CB FNS ESTREITO       
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250079,ALMOX/79 G.P.RV BLUMENAU      
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150079,QG- GBM POUSO REDONDO         
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090082,16º GRUP POL RODOVI�RIA  - PA 
2202,FUNDO DE ESFORCO FISCAL - FEF                     ,FEF,22020001,ALMOXARIFADO DA FEF           
4792,FUNDO PLANO SAUDE SER.PUBL.SEA                    ,FPSPS,47920001,ALMOX. FUNDO PLANO SAUDE SEA  
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090008,"08 ""PA"" - 3/3BPM/MAFRA        "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250005,ALMOXARIFADO 05 TUBARAO       
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040111,"111-""PL"" -BPMA/2 CIA-JOINVILLE"
2027,SANTUR-SANTA CATARINA TURISMO S/A                 ,SANTUR,20270001,ALMOX.CENTRAL - SANTUR        
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090124,"124 - ""PA"" 2A/19 BPM - SOMBRIO"
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040069,3º GRUP POL RODOVI�RIA - PL   
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250006,ALMOXARIFADO 06 CANOINHAS     
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150090,QG- PBM SAO JOAO BATISTA      
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150031,QG- CBM CANOINHAS             
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250026,ALMOXARIFADO 26 SEDE-CAPOEIRAS
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090074,8º GRUP POL RODOVI�RIA - PA   
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090093,"93 ""PA"" - BOPE - SÃO JOSÈ     "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150042,QG- GBM PALMITOS              
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090102,""" PA "" - GUESP / IÇARA        "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040016,"16 ""PL"" - 27 BPM/SAO FCO SUL  "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040101,"101 ""PL"" - GU. ESPM - B. NORTE"
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090043,"43 ""PA"" -  6/2/3 BBM/RIO NEGR."
1103,PROCURADORIA GERAL DO ESTADO                      ,PGE,11030001,ALMOXARIFADO GERAL - PGE      
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850006,LF- BBM BLUMENAU CENTRO       
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090001,ALMOXARIFADO GERAL - PA - PMSC
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150003,QG-CMDO GERAL FLNS            
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150014,QG- PBM FNS CENTRO            
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150024,QG- GBM CAMPOS NOVOS          
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150068,QG- GBM PAPANDUVAS            
7101,02 SEC.DE EST.DO DES.REG.-MARAVILHA               ,02 SDR,71010001,SDR 2-MARAVILHA               
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090041,"41 ""PA"" - G.ESP.P.M. MONTADA  "
8001,11 SEC.DE EST.DO DES.REG.-CURITIBANOS             ,11 SDR,80010001,SDR 11-CURITIBANOS            
2301,SECRETARIA DE ESTADO DA INFRAESTRUTURA            ,SIE,23010009,COORDENADORIA REGIONA DO SUL  
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850062,LF- PBM TIJUCAS               
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090032,"32 ""PA"" - 2/4/2 BBM/P.UNIAO   "
4112,DEPARTAMENTO ESTADUAL DE TRANSITO - DETRAN        ,DETRAN,41120001,ALMOX CENTRAL - DETRAN        
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850057,LF- BBM FNS ESTREITO          
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150094,QG - FRAIBURGO                
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090104,21º GRUP POL RODOVIARIA - PA  
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150015,QG- GBM FNS CANASVIEIRAS      
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090113,"113 - ""PA"" - CMT/DALF - FPOLIS"
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090030,"30 ""PA"" - 3 BPM/CANOINHAS     "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040006,"06 ""PL"" -  3 BBM/BLUMENAU     "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090054,"54 ""PA"" -  3/1 BBM/CRICIUMA   "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090019,"19 ""PA"" - 10 BPM/BLUMENAU     "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150105,GBM ANITA GARIBALDI           
5602,SJC - FUNDO PENITENCIARIO DO ESTADO DE SC.        ,FUPESC,56020005,FUPESC-PRESIDIO BIGUAÇU       
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150026,QG- GBM SANTA CECILIA         
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250016,ALMOXARIFADO 16 BRUSQUE       
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040103,"103 - ""PL"" - 7A/BPMA - PALHOCA"
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040029,"29 ""PL"" -  3/4/2 BBM/MAFRA    "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040040,"40 ""PL"" -  C.ENS. CPM FPOLIS  "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090009,"09 ""PA""-15º BPM/CAÇADOR       "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040114,"114 ""PL""-9 RPM-S.MIGUEL OESTE "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150060,QG- GBM SAO LOURENCO D`OESTE  
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250071,ALMOX/71 G.P.RV C. DO SUL     
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250086,ALMOX/86 G.P.RV CONCORDIA     
2301,SECRETARIA DE ESTADO DA INFRAESTRUTURA            ,SIE,23010004,COORDENADORIA R. DO PLANALTO  
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090079,13º GRUP POL RODOVI�RIA  - PA 
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250076,ALMOX/76 G.P.RV PAINEL        
