cod_orgao,nom_orgao,sgl_orgao,cod_upce,nom_upce
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040066,"""PL"" 3/15 BPM/FRAIBURGO       "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090035,"35 ""PA"" - 3/1/2BBM/H.D'OESTE  "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150032,QG- PBM PORTO UNIAO           
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040034,"34 ""PL"" -  5/3/1 BBM/LAGUNA   "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090046,"46 ""PA"" -  4/3/1 BBM/URUSSANGA"
2323,DEPARTAMENTO DE TRANSPORTES E TERMINAIS           ,DETER,23230002,ALMOXARIFADO GERAL - DETER    
1699,INSTITUTO GERAL DE PERICIAS - IGP                 ,IGP,16990001,ALMOX GERAL - IGP             
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040018,"18 ""PL"" - 19 BPM/ARARANGUA    "
7301,04 SEC.DE EST.DO DES.REG.-CHAPECO                 ,04 SDR,73010001,SDR 04-CHAPECO                
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040008,"08 ""PL"" -  3/3 BPM/MAFRA      "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090027,"27 ""PA"" - GEN.ALIM./FPOLIS.   "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090116,"116 ""PA"" - 10 RPM - JOACABA   "
2701,SEC.DE EST.D0 DES. ECONOMICO SUSTENTAVEL          ,SDS,27010001,ALMOX.CENTRAL SDS             
5602,SJC - FUNDO PENITENCIARIO DO ESTADO DE SC.        ,FUPESC,56020012,FUPESC-PRESIDIO CRICIUMA      
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150104,QG- GBM BENEDITO NOVO         
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150080,QG- PBM ITAJAI - CORDEIROS    
